trip_id,driver_id,date,iso_week,day_of_week,stop_sequence,location_id,location_code,location_name,latitude,longitude,visit_time,visit_duration_min,distance_from_prev_km,travel_duration_from_prev_min,traffic_category,region,store_density,priority,daily_stop_count,route_total_distance_km,route_total_travel_min,route_efficiency_score
D05-2026-03-23,D05,2026-03-23,2026-W13,0,2,L026,Z,Store Z,23.070122,72.61473,09:34,40,3.031,6.94,medium,north,0.282,5,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,3,L034,AH,Store AH,23.034541,72.646341,10:31,25,6.525,17.11,high,east,0.674,2,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,4,L064,BL,Store BL,23.039547,72.653069,10:59,23,1.107,3.24,high,east,0.556,3,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,5,L060,BH,Store BH,22.987802,72.63076,11:41,35,8.633,18.38,high,industrial,0.229,5,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,6,L069,BQ,Store BQ,22.975325,72.606437,12:24,14,3.916,8.66,medium,south,0.426,4,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,7,L039,AM,Store AM,22.990237,72.588702,12:45,28,3.21,6.79,medium,south,0.42,5,8,48.254,113.86,0.771
D05-2026-03-23,D05,2026-03-23,2026-W13,0,8,L033,AG,Store AG,22.943913,72.574113,13:27,30,6.897,14.25,medium,south,0.233,5,8,48.254,113.86,0.771
D06-2026-03-23,D06,2026-03-23,2026-W13,0,1,L060,BH,Store BH,22.987802,72.63076,08:21,34,2.148,6.98,high,industrial,0.229,5,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,2,L006,F,Store F,22.974202,72.628706,09:01,19,2.03,5.75,high,industrial,0.32,2,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,3,L021,U,Store U,22.971647,72.586101,09:37,15,6.31,16.38,medium,south,0.174,1,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,4,L055,BC,Store BC,23.01131,72.55939,10:20,22,6.986,28.25,severe,central,0.7,5,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,5,L044,AR,Store AR,23.077308,72.577708,11:11,15,10.925,28.93,medium,north,0.242,4,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,6,L034,AH,Store AH,23.034541,72.646341,11:57,34,10.919,31.48,high,east,0.674,2,7,60.668,159.95,0.866
D06-2026-03-23,D06,2026-03-23,2026-W13,0,7,L035,AI,Store AI,23.072258,72.486824,13:13,27,21.35,42.17,low,west,0.475,4,7,60.668,159.95,0.866
D07-2026-03-23,D07,2026-03-23,2026-W13,0,1,L008,H,Store H,23.060739,72.597833,09:09,32,6.994,24.86,medium,north,0.554,4,6,45.084,128.36,0.942
D07-2026-03-23,D07,2026-03-23,2026-W13,0,2,L026,Z,Store Z,23.070122,72.61473,09:50,37,2.502,8.43,medium,north,0.282,5,6,45.084,128.36,0.942
D07-2026-03-23,D07,2026-03-23,2026-W13,0,3,L024,X,Store X,22.991964,72.617173,11:05,41,11.452,38.67,high,industrial,0.592,3,6,45.084,128.36,0.942
D07-2026-03-23,D07,2026-03-23,2026-W13,0,4,L012,L,Store L,22.986719,72.630134,11:52,18,1.742,5.07,high,industrial,0.377,3,6,45.084,128.36,0.942
D07-2026-03-23,D07,2026-03-23,2026-W13,0,5,L045,AS,Store AS,22.968161,72.595815,12:24,17,5.848,14.85,medium,south,0.554,5,6,45.084,128.36,0.942
D07-2026-03-23,D07,2026-03-23,2026-W13,0,6,L017,Q,Store Q,23.050603,72.495376,13:18,34,16.547,36.48,low,west,0.255,5,6,45.084,128.36,0.942
D08-2026-03-23,D08,2026-03-23,2026-W13,0,1,L038,AL,Store AL,23.080646,72.588651,08:01,20,0.556,1.89,medium,north,0.315,5,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,2,L068,BP,Store BP,23.079328,72.590398,08:23,27,0.281,2.1,medium,north,0.592,2,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,3,L002,B,Store B,23.054435,72.582907,09:00,24,4.065,9.55,medium,north,0.596,1,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,4,L027,AA,Store AA,23.001022,72.605958,09:42,37,7.552,18.11,medium,south,0.585,3,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,5,L039,AM,Store AM,22.990237,72.588702,10:26,31,2.664,6.59,medium,south,0.42,5,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,6,L072,BT,Store BT,22.993584,72.64662,11:22,18,8.362,25.51,high,industrial,0.613,2,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,7,L058,BF,Store BF,23.028704,72.658033,11:54,19,4.987,13.99,high,east,0.723,5,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,8,L017,Q,Store Q,23.050603,72.495376,12:50,26,20.277,36.85,low,west,0.255,5,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,9,L035,AI,Store AI,23.072258,72.486824,13:22,24,3.493,6.16,low,west,0.475,4,10,57.425,131.52,0.78
D08-2026-03-23,D08,2026-03-23,2026-W13,0,10,L065,BM,Store BM,23.042302,72.468112,13:57,37,5.189,10.78,low,west,0.573,1,10,57.425,131.52,0.78
D09-2026-03-23,D09,2026-03-23,2026-W13,0,1,L051,AY,Store AY,22.967069,72.591557,08:31,27,0.785,1.84,medium,south,0.307,1,6,31.055,72.16,0.907
D09-2026-03-23,D09,2026-03-23,2026-W13,0,2,L015,O,Store O,23.004357,72.587923,09:10,30,5.034,11.98,medium,south,0.494,2,6,31.055,72.16,0.907
D09-2026-03-23,D09,2026-03-23,2026-W13,0,3,L061,BI,Store BI,23.055123,72.560227,10:06,13,8.513,25.67,severe,central,0.834,5,6,31.055,72.16,0.907
D09-2026-03-23,D09,2026-03-23,2026-W13,0,4,L017,Q,Store Q,23.050603,72.495376,10:39,33,8.782,19.85,low,west,0.255,5,6,31.055,72.16,0.907
D09-2026-03-23,D09,2026-03-23,2026-W13,0,5,L035,AI,Store AI,23.072258,72.486824,11:17,26,3.21,5.19,low,west,0.475,4,6,31.055,72.16,0.907
D09-2026-03-23,D09,2026-03-23,2026-W13,0,6,L065,BM,Store BM,23.042302,72.468112,11:51,32,4.732,7.63,low,west,0.573,1,6,31.055,72.16,0.907
D10-2026-03-23,D10,2026-03-23,2026-W13,0,1,L004,D,Store D,23.031554,72.664233,08:18,21,1.192,3.72,high,east,0.74,5,6,31.419,79.94,0.948
D10-2026-03-23,D10,2026-03-23,2026-W13,0,2,L016,P,Store P,23.054636,72.642587,08:53,36,4.449,13.43,high,east,0.384,1,6,31.419,79.94,0.948
D10-2026-03-23,D10,2026-03-23,2026-W13,0,3,L040,AN,Store AN,23.034803,72.627306,09:40,8,3.725,11.06,high,east,0.834,2,6,31.419,79.94,0.948
D10-2026-03-23,D10,2026-03-23,2026-W13,0,4,L042,AP,Store AP,23.005982,72.642539,10:01,23,4.289,13.44,high,industrial,0.473,1,6,31.419,79.94,0.948
D10-2026-03-23,D10,2026-03-23,2026-W13,0,5,L029,AC,Store AC,23.030634,72.53114,10:54,25,14.166,30.3,low,west,0.609,5,6,31.419,79.94,0.948
D10-2026-03-23,D10,2026-03-23,2026-W13,0,6,L041,AO,Store AO,23.049607,72.513774,11:27,32,3.598,7.98,low,west,0.362,4,6,31.419,79.94,0.948
D11-2026-03-23,D11,2026-03-23,2026-W13,0,1,L071,BS,Store BS,23.050641,72.502727,08:48,22,1.588,3.8,low,west,0.201,5,6,41.36,118.43,0.823
D11-2026-03-23,D11,2026-03-23,2026-W13,0,2,L017,Q,Store Q,23.050603,72.495376,09:13,34,1.082,2.65,low,west,0.255,5,6,41.36,118.43,0.823
D11-2026-03-23,D11,2026-03-23,2026-W13,0,3,L055,BC,Store BC,23.01131,72.55939,10:25,30,10.221,38.43,severe,central,0.7,5,6,41.36,118.43,0.823
D11-2026-03-23,D11,2026-03-23,2026-W13,0,4,L010,J,Store J,23.007342,72.633356,11:31,39,10.95,35.75,high,east,0.567,2,6,41.36,118.43,0.823
D11-2026-03-23,D11,2026-03-23,2026-W13,0,5,L012,L,Store L,22.986719,72.630134,12:19,22,3.027,8.55,high,industrial,0.377,3,6,41.36,118.43,0.823
D11-2026-03-23,D11,2026-03-23,2026-W13,0,6,L038,AL,Store AL,23.080646,72.588651,13:10,29,14.492,29.26,medium,north,0.315,5,6,41.36,118.43,0.823
D12-2026-03-23,D12,2026-03-23,2026-W13,0,1,L009,I,Store I,22.994965,72.615016,08:01,47,0.757,1.87,medium,south,0.189,3,5,38.084,76.41,0.772
D12-2026-03-23,D12,2026-03-23,2026-W13,0,2,L003,C,Store C,22.973863,72.588513,08:57,33,4.379,9.03,medium,south,0.259,5,5,38.084,76.41,0.772
D12-2026-03-23,D12,2026-03-23,2026-W13,0,3,L008,H,Store H,23.060739,72.597833,10:01,29,13.63,30.9,medium,north,0.554,4,5,38.084,76.41,0.772
D12-2026-03-23,D12,2026-03-23,2026-W13,0,4,L068,BP,Store BP,23.079328,72.590398,10:37,33,2.853,6.8,medium,north,0.592,2,5,38.084,76.41,0.772
D12-2026-03-23,D12,2026-03-23,2026-W13,0,5,L065,BM,Store BM,23.042302,72.468112,11:38,37,16.466,27.81,low,west,0.573,1,5,38.084,76.41,0.772
D01-2026-03-24,D01,2026-03-24,2026-W13,1,1,L055,BC,Store BC,23.01131,72.55939,08:24,20,2.122,9.51,severe,central,0.7,5,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,2,L043,AQ,Store AQ,22.994149,72.567495,08:56,16,2.672,12.1,severe,central,0.416,2,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,3,L051,AY,Store AY,22.967069,72.591557,09:29,24,4.727,17.13,medium,south,0.307,1,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,4,L052,AZ,Store AZ,23.034712,72.622924,10:36,30,11.434,42.28,high,east,0.669,1,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,5,L041,AO,Store AO,23.049607,72.513774,11:42,33,15.464,36.84,low,west,0.362,4,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,6,L059,BG,Store BG,23.044363,72.508799,12:18,17,1.06,2.19,low,west,0.283,3,7,39.301,124.21,0.801
D01-2026-03-24,D01,2026-03-24,2026-W13,1,7,L017,Q,Store Q,23.050603,72.495376,12:39,34,1.823,4.15,low,west,0.255,5,7,39.301,124.21,0.801
D02-2026-03-24,D02,2026-03-24,2026-W13,1,1,L056,BD,Store BD,23.075197,72.593745,08:18,21,1.341,3.72,medium,north,0.508,2,6,38.27,109.36,0.868
D02-2026-03-24,D02,2026-03-24,2026-W13,1,2,L061,BI,Store BI,23.055123,72.560227,08:57,8,5.122,18.05,severe,central,0.834,5,6,38.27,109.36,0.868
D02-2026-03-24,D02,2026-03-24,2026-W13,1,3,L007,G,Store G,23.018842,72.584676,09:29,26,6.438,23.73,severe,central,0.406,1,6,38.27,109.36,0.868
D02-2026-03-24,D02,2026-03-24,2026-W13,1,4,L031,AE,Store AE,23.033569,72.600459,10:08,30,3.144,12.56,severe,central,0.918,1,6,38.27,109.36,0.868
D02-2026-03-24,D02,2026-03-24,2026-W13,1,5,L057,BE,Store BE,22.986917,72.572572,11:02,32,8.029,24.03,medium,south,0.3,3,6,38.27,109.36,0.868
D02-2026-03-24,D02,2026-03-24,2026-W13,1,6,L017,Q,Store Q,23.050603,72.495376,12:01,32,14.196,27.27,low,west,0.255,5,6,38.27,109.36,0.868
D03-2026-03-24,D03,2026-03-24,2026-W13,1,1,L009,I,Store I,22.994965,72.615016,08:16,36,4.474,16.26,medium,south,0.189,3,5,39.86,129.45,0.857
D03-2026-03-24,D03,2026-03-24,2026-W13,1,2,L015,O,Store O,23.004357,72.587923,09:04,27,3.744,12.43,medium,south,0.494,2,5,39.86,129.45,0.857
D03-2026-03-24,D03,2026-03-24,2026-W13,1,3,L002,B,Store B,23.054435,72.582907,09:54,26,7.039,23.14,medium,north,0.596,1,5,39.86,129.45,0.857
D03-2026-03-24,D03,2026-03-24,2026-W13,1,4,L029,AC,Store AC,23.030634,72.53114,10:43,24,8.269,22.79,low,west,0.609,5,5,39.86,129.45,0.857
D03-2026-03-24,D03,2026-03-24,2026-W13,1,5,L054,BB,Store BB,23.019539,72.64297,12:02,8,16.334,54.83,high,industrial,0.273,5,5,39.86,129.45,0.857
D04-2026-03-24,D04,2026-03-24,2026-W13,1,1,L034,AH,Store AH,23.034541,72.646341,08:33,29,1.321,3.83,high,east,0.674,2,6,34.427,86.62,0.895
D04-2026-03-24,D04,2026-03-24,2026-W13,1,2,L070,BR,Store BR,23.033811,72.669165,09:13,29,3.099,10.28,high,east,0.91,1,6,34.427,86.62,0.895
D04-2026-03-24,D04,2026-03-24,2026-W13,1,3,L042,AP,Store AP,23.005982,72.642539,09:56,17,5.31,14.43,high,industrial,0.473,1,6,34.427,86.62,0.895
D04-2026-03-24,D04,2026-03-24,2026-W13,1,4,L002,B,Store B,23.054435,72.582907,10:42,33,10.738,28.72,medium,north,0.596,1,6,34.427,86.62,0.895
D04-2026-03-24,D04,2026-03-24,2026-W13,1,5,L014,N,Store N,23.06393,72.571711,11:19,32,1.9,4.06,medium,north,0.272,4,6,34.427,86.62,0.895
D04-2026-03-24,D04,2026-03-24,2026-W13,1,6,L035,AI,Store AI,23.072258,72.486824,12:16,29,12.059,25.31,low,west,0.475,4,6,34.427,86.62,0.895
D05-2026-03-24,D05,2026-03-24,2026-W13,1,1,L025,Y,Store Y,23.017413,72.567243,08:36,12,10.025,36.13,severe,central,0.611,4,6,32.645,90.66,0.959
D05-2026-03-24,D05,2026-03-24,2026-W13,1,2,L057,BE,Store BE,22.986917,72.572572,09:00,40,4.746,12.65,medium,south,0.3,3,6,32.645,90.66,0.959
D05-2026-03-24,D05,2026-03-24,2026-W13,1,3,L003,C,Store C,22.973863,72.588513,09:47,36,3.075,6.83,medium,south,0.259,5,6,32.645,90.66,0.959
D05-2026-03-24,D05,2026-03-24,2026-W13,1,4,L060,BH,Store BH,22.987802,72.63076,10:39,38,5.927,15.71,high,industrial,0.229,5,6,32.645,90.66,0.959
D05-2026-03-24,D05,2026-03-24,2026-W13,1,5,L058,BF,Store BF,23.028704,72.658033,11:32,14,6.951,14.87,high,east,0.723,5,6,32.645,90.66,0.959
D05-2026-03-24,D05,2026-03-24,2026-W13,1,6,L034,AH,Store AH,23.034541,72.646341,11:50,29,1.922,4.47,high,east,0.674,2,6,32.645,90.66,0.959
D06-2026-03-24,D06,2026-03-24,2026-W13,1,1,L009,I,Store I,22.994965,72.615016,08:02,36,0.761,2.12,medium,south,0.189,3,5,32.579,86.67,0.914
D06-2026-03-24,D06,2026-03-24,2026-W13,1,2,L049,AW,Store AW,23.009972,72.596579,08:50,32,3.339,11.94,severe,central,0.521,5,5,32.579,86.67,0.914
D06-2026-03-24,D06,2026-03-24,2026-W13,1,3,L028,AB,Store AB,23.012768,72.640552,09:45,19,6.56,23.54,high,east,0.442,2,5,32.579,86.67,0.914
D06-2026-03-24,D06,2026-03-24,2026-W13,1,4,L071,BS,Store BS,23.050641,72.502727,10:43,23,17.723,39.38,low,west,0.201,5,5,32.579,86.67,0.914
D06-2026-03-24,D06,2026-03-24,2026-W13,1,5,L023,W,Store W,23.063614,72.474335,11:16,21,4.198,9.69,low,west,0.415,5,5,32.579,86.67,0.914
D07-2026-03-24,D07,2026-03-24,2026-W13,1,1,L043,AQ,Store AQ,22.994149,72.567495,08:46,11,4.117,16.91,severe,central,0.416,2,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,2,L030,AD,Store AD,22.998471,72.613437,09:20,19,6.56,22.29,high,industrial,0.331,3,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,3,L072,BT,Store BT,22.993584,72.64662,09:56,19,4.932,17.05,high,industrial,0.613,2,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,4,L031,AE,Store AE,23.033569,72.600459,10:51,38,8.355,36.6,severe,central,0.918,1,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,5,L008,H,Store H,23.060739,72.597833,11:40,36,4.259,10.26,medium,north,0.554,4,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,6,L026,Z,Store Z,23.070122,72.61473,12:23,36,2.474,7.27,medium,north,0.282,5,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,7,L059,BG,Store BG,23.044363,72.508799,13:35,17,15.879,35.96,low,west,0.283,3,8,48.625,151.15,0.913
D07-2026-03-24,D07,2026-03-24,2026-W13,1,8,L017,Q,Store Q,23.050603,72.495376,13:57,32,2.048,4.8,low,west,0.255,5,8,48.625,151.15,0.913
D08-2026-03-24,D08,2026-03-24,2026-W13,1,1,L026,Z,Store Z,23.070122,72.61473,08:54,29,4.043,9.55,medium,north,0.282,5,6,41.044,107.83,0.814
D08-2026-03-24,D08,2026-03-24,2026-W13,1,2,L001,A,Store A,23.019581,72.568967,09:55,16,8.655,32.23,severe,central,0.515,2,6,41.044,107.83,0.814
D08-2026-03-24,D08,2026-03-24,2026-W13,1,3,L055,BC,Store BC,23.01131,72.55939,10:18,24,1.853,7.09,severe,central,0.7,5,6,41.044,107.83,0.814
D08-2026-03-24,D08,2026-03-24,2026-W13,1,4,L021,U,Store U,22.971647,72.586101,11:00,22,6.499,17.71,medium,south,0.174,1,6,41.044,107.83,0.814
D08-2026-03-24,D08,2026-03-24,2026-W13,1,5,L059,BG,Store BG,23.044363,72.508799,11:53,9,14.829,30.44,low,west,0.283,3,6,41.044,107.83,0.814
D08-2026-03-24,D08,2026-03-24,2026-W13,1,6,L035,AI,Store AI,23.072258,72.486824,12:12,30,5.165,10.8,low,west,0.475,4,6,41.044,107.83,0.814
D09-2026-03-24,D09,2026-03-24,2026-W13,1,1,L027,AA,Store AA,23.001022,72.605958,08:53,36,4.237,8.84,medium,south,0.585,3,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,2,L015,O,Store O,23.004357,72.587923,09:35,31,2.273,5.31,medium,south,0.494,2,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,3,L019,S,Store S,23.033345,72.570383,10:23,29,5.133,17.04,severe,central,0.687,3,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,4,L062,BJ,Store BJ,23.060955,72.574762,11:01,12,4.103,9.49,medium,north,0.616,1,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,5,L044,AR,Store AR,23.077308,72.577708,11:18,14,2.628,5.13,medium,north,0.242,4,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,6,L011,K,Store K,23.050226,72.52189,11:47,20,8.352,14.58,low,west,0.537,1,7,45.389,100.34,0.848
D09-2026-03-24,D09,2026-03-24,2026-W13,1,7,L004,D,Store D,23.031554,72.664233,12:47,19,18.664,39.95,high,east,0.74,5,7,45.389,100.34,0.848
D10-2026-03-24,D10,2026-03-24,2026-W13,1,1,L066,BN,Store BN,23.003476,72.609487,09:02,28,6.523,17.43,high,industrial,0.152,2,5,43.032,102.05,0.915
D10-2026-03-24,D10,2026-03-24,2026-W13,1,2,L009,I,Store I,22.994965,72.615016,09:34,39,1.399,3.9,medium,south,0.189,3,5,43.032,102.05,0.915
D10-2026-03-24,D10,2026-03-24,2026-W13,1,3,L013,M,Store M,23.029567,72.564749,10:41,21,8.393,28.12,severe,central,0.51,1,5,43.032,102.05,0.915
D10-2026-03-24,D10,2026-03-24,2026-W13,1,4,L005,E,Store E,23.061481,72.504036,11:19,24,8.82,17.28,low,west,0.555,1,5,43.032,102.05,0.915
D10-2026-03-24,D10,2026-03-24,2026-W13,1,5,L033,AG,Store AG,22.943913,72.574113,12:19,28,17.896,35.32,medium,south,0.233,5,5,43.032,102.05,0.915
D11-2026-03-24,D11,2026-03-24,2026-W13,1,1,L029,AC,Store AC,23.030634,72.53114,08:10,22,4.064,10.5,low,west,0.609,5,5,49.994,120.92,0.908
D11-2026-03-24,D11,2026-03-24,2026-W13,1,2,L014,N,Store N,23.06393,72.571711,08:50,19,7.568,17.98,medium,north,0.272,4,5,49.994,120.92,0.908
D11-2026-03-24,D11,2026-03-24,2026-W13,1,3,L018,R,Store R,23.020022,72.610523,09:32,13,8.566,23.15,high,industrial,0.348,4,5,49.994,120.92,0.908
D11-2026-03-24,D11,2026-03-24,2026-W13,1,4,L006,F,Store F,22.974202,72.628706,10:07,14,7.135,22.2,high,industrial,0.32,2,5,49.994,120.92,0.908
D11-2026-03-24,D11,2026-03-24,2026-W13,1,5,L023,W,Store W,23.063614,72.474335,11:08,11,22.662,47.1,low,west,0.415,5,5,49.994,120.92,0.908
D12-2026-03-24,D12,2026-03-24,2026-W13,1,1,L024,X,Store X,22.991964,72.617173,08:32,31,1.02,2.73,high,industrial,0.592,3,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,2,L036,AJ,Store AJ,23.001281,72.609571,09:07,23,1.636,3.87,high,industrial,0.182,1,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,3,L027,AA,Store AA,23.001022,72.605958,09:32,36,0.471,1.81,medium,south,0.585,3,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,4,L006,F,Store F,22.974202,72.628706,10:23,18,5.163,15.21,high,industrial,0.32,2,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,5,L051,AY,Store AY,22.967069,72.591557,10:55,32,5.646,14.34,medium,south,0.307,1,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,6,L029,AC,Store AC,23.030634,72.53114,11:45,18,11.107,17.71,low,west,0.609,5,7,30.193,69.5,0.904
D12-2026-03-24,D12,2026-03-24,2026-W13,1,7,L061,BI,Store BI,23.055123,72.560227,12:17,13,5.15,13.84,severe,central,0.834,5,7,30.193,69.5,0.904
